equipment_type,model,site_id,season,region,month,rental_days,previous_rental_count,avg_engine_hours,avg_idle_hours,utilization_rate,target_expected_demand
Motor Grader,140,SITE_046,Monsoon,South,8,37,15,6.71,1.67,0.8004,25.0
Bulldozer,D6,SITE_042,Monsoon,North,7,61,31,9.09,2.71,0.7703,37.0
Wheel Loader,950 GC,SITE_034,Monsoon,North,6,8,28,6.11,1.72,0.7803,37.0
Backhoe Loader,420,SITE_010,PostMonsoon,West,9,26,16,5.67,1.53,0.7873,30.0
Bulldozer,D8,SITE_024,Monsoon,South,4,24,21,5.35,3.7,0.591,29.0
Articulated Truck,745,SITE_037,Winter,North,2,38,36,6.65,3.76,0.6387,40.0
Bulldozer,D6,SITE_047,Summer,West,12,33,18,7.14,3.77,0.6544,40.0
Backhoe Loader,420,SITE_024,Winter,East,2,14,13,10.03,3.96,0.717,29.0
Bulldozer,D8,SITE_049,PostMonsoon,North,3,27,14,8.68,1.12,0.8858,41.0
Motor Grader,140,SITE_036,PostMonsoon,North,11,8,6,4.38,3.41,0.5624,27.0
Wheel Loader,966,SITE_022,Winter,East,8,49,23,8.37,3.07,0.7315,48.0
Wheel Loader,966,SITE_017,Monsoon,East,11,13,42,10.02,1.6,0.8623,46.0
Compact Track Loader,259D3,SITE_035,PostMonsoon,West,11,32,25,4.09,1.32,0.7553,34.0
Compact Track Loader,259D3,SITE_016,Summer,East,7,75,18,6.28,3.75,0.6262,30.0
Motor Grader,140,SITE_048,Winter,East,5,51,25,4.71,1.44,0.7654,29.0
Compact Track Loader,259D3,SITE_036,Summer,East,4,22,32,9.59,2.21,0.8129,39.0
Backhoe Loader,420,SITE_050,Monsoon,South,7,30,9,9.46,2.35,0.8009,23.0
Excavator,320 GC,SITE_031,Monsoon,West,3,50,48,4.06,1.5,0.7302,51.0
Bulldozer,D8,SITE_041,Winter,South,9,46,6,5.34,2.24,0.7046,37.0
Articulated Truck,745,SITE_019,PostMonsoon,North,8,9,34,9.45,2.42,0.7959,41.0
Motor Grader,140,SITE_027,Winter,East,7,52,19,9.37,1.87,0.8336,32.0
Backhoe Loader,420,SITE_030,Winter,West,12,88,12,6.89,3.19,0.6835,26.0
Motor Grader,140,SITE_020,Summer,West,10,69,42,4.11,1.05,0.7968,44.0
Compact Track Loader,259D3,SITE_049,Monsoon,South,8,13,7,9.69,2.39,0.8024,19.0
Excavator,320 GC,SITE_041,Monsoon,West,1,77,26,6.92,1.98,0.7775,36.0
Bulldozer,D6,SITE_048,PostMonsoon,North,5,62,38,9.79,2.24,0.8137,48.0
Motor Grader,140,SITE_017,Monsoon,West,9,81,26,6.16,3.89,0.6129,30.0
Motor Grader,140,SITE_010,Monsoon,East,12,54,8,10.74,1.41,0.8842,24.0
Compact Track Loader,259D3,SITE_045,Monsoon,North,4,15,33,6.02,3.87,0.6089,31.0
Backhoe Loader,420,SITE_020,PostMonsoon,West,8,42,15,7.88,2.85,0.7345,32.0
Wheel Loader,950 GC,SITE_022,PostMonsoon,South,9,88,46,9.81,2.21,0.8161,55.0
Backhoe Loader,420,SITE_019,Monsoon,East,7,18,32,4.25,2.74,0.6079,30.0
Excavator,336,SITE_014,Winter,East,7,26,35,7.11,3.97,0.6417,52.0
Wheel Loader,966,SITE_044,Monsoon,North,6,27,21,5.37,2.19,0.7098,32.0
Backhoe Loader,420,SITE_033,Winter,South,12,84,43,10.53,1.54,0.8727,40.0
Backhoe Loader,420,SITE_039,PostMonsoon,North,9,57,31,4.02,1.09,0.7862,38.0
Motor Grader,140,SITE_028,Monsoon,East,11,72,44,10.41,2.22,0.8244,37.0
Wheel Loader,950 GC,SITE_029,Summer,North,10,60,41,8.62,3.64,0.7032,50.0
Wheel Loader,966,SITE_006,Monsoon,West,5,75,20,10.54,1.31,0.8893,37.0
Compact Track Loader,259D3,SITE_020,Monsoon,East,12,20,4,8.45,2.6,0.7645,20.0
Bulldozer,D6,SITE_010,PostMonsoon,East,3,59,13,5.46,1.04,0.8398,40.0
Articulated Truck,745,SITE_018,Summer,South,8,25,31,10.19,2.43,0.8072,45.0
Wheel Loader,966,SITE_041,PostMonsoon,East,1,79,24,10.31,1.86,0.8472,55.0
Backhoe Loader,420,SITE_031,Monsoon,South,11,81,13,7.14,3.73,0.6567,23.0
Compact Track Loader,259D3,SITE_034,PostMonsoon,West,5,69,5,9.96,2.6,0.793,24.0
Motor Grader,140,SITE_040,Summer,West,4,17,45,8.22,3.41,0.7067,47.0
Wheel Loader,966,SITE_006,Monsoon,West,2,9,42,10.29,2.8,0.7858,48.0
Wheel Loader,950 GC,SITE_001,Summer,West,11,66,24,6.97,2.19,0.7608,46.0
Excavator,320 GC,SITE_010,Winter,West,9,89,9,4.71,3.18,0.5969,33.0
Wheel Loader,950 GC,SITE_039,Winter,North,1,50,16,7.21,3.67,0.6626,35.0
Wheel Loader,966,SITE_023,Winter,South,9,78,34,4.18,2.8,0.5986,45.0
Articulated Truck,745,SITE_017,Monsoon,East,7,27,22,9.92,4.0,0.7129,32.0
Excavator,320 GC,SITE_021,PostMonsoon,West,10,81,22,7.15,3.24,0.6879,46.0
Bulldozer,D8,SITE_017,Summer,North,12,42,35,7.33,1.91,0.7933,55.0
Excavator,320 GC,SITE_011,PostMonsoon,North,5,50,37,4.03,2.56,0.6114,55.0
Articulated Truck,745,SITE_043,Winter,West,8,41,28,9.16,2.34,0.7966,37.0
Backhoe Loader,420,SITE_030,Monsoon,East,1,80,27,8.71,1.75,0.8324,31.0
Backhoe Loader,420,SITE_012,Summer,South,12,44,4,5.63,3.05,0.6484,30.0
Articulated Truck,745,SITE_037,Winter,South,4,70,17,10.93,2.11,0.8383,34.0
Wheel Loader,966,SITE_036,Summer,North,12,84,43,9.29,1.89,0.8313,63.0
Wheel Loader,950 GC,SITE_025,Monsoon,East,8,71,47,6.66,1.52,0.8141,44.0
Excavator,320 GC,SITE_042,PostMonsoon,East,7,70,39,6.12,2.31,0.7262,52.0
Bulldozer,D6,SITE_047,Monsoon,West,4,48,39,10.2,3.35,0.753,36.0
Wheel Loader,966,SITE_042,Monsoon,North,3,58,31,7.0,1.16,0.8582,43.0
Articulated Truck,745,SITE_028,Summer,North,9,50,5,7.4,3.51,0.6784,31.0
Backhoe Loader,420,SITE_044,PostMonsoon,South,8,39,5,5.91,1.07,0.8469,27.0
Articulated Truck,745,SITE_009,PostMonsoon,East,3,66,25,8.96,2.19,0.8032,40.0
Bulldozer,D6,SITE_028,Winter,North,9,60,7,8.08,3.28,0.7112,28.0
Motor Grader,140,SITE_031,Monsoon,South,5,9,4,8.56,2.43,0.7787,20.0
Compact Track Loader,259D3,SITE_011,PostMonsoon,West,12,64,18,6.81,3.59,0.6544,29.0
Excavator,320 GC,SITE_042,Winter,East,11,48,39,8.0,3.96,0.6687,48.0
Wheel Loader,950 GC,SITE_009,Winter,South,9,69,49,9.66,1.61,0.8569,51.0
Bulldozer,D8,SITE_047,PostMonsoon,West,8,70,36,9.47,2.2,0.8112,54.0
Articulated Truck,745,SITE_021,Winter,East,1,23,6,7.22,3.42,0.6784,27.0
Backhoe Loader,420,SITE_045,Winter,North,9,89,49,8.4,1.13,0.8814,47.0
Compact Track Loader,259D3,SITE_031,Summer,West,10,59,23,8.68,2.79,0.7568,35.0
Motor Grader,140,SITE_028,Summer,East,8,70,34,9.7,2.76,0.7783,46.0
Backhoe Loader,420,SITE_047,Winter,East,9,75,42,7.95,3.1,0.7192,38.0
Excavator,320 GC,SITE_023,Winter,North,9,55,18,5.01,3.46,0.5911,40.0
Wheel Loader,966,SITE_023,Monsoon,East,8,38,7,10.89,2.64,0.8049,30.0
Wheel Loader,966,SITE_025,Winter,South,4,84,34,8.27,1.66,0.8326,51.0
Wheel Loader,950 GC,SITE_033,PostMonsoon,West,4,54,13,8.37,3.98,0.6776,37.0
Articulated Truck,745,SITE_017,PostMonsoon,East,8,54,33,10.57,3.25,0.7648,42.0
Compact Track Loader,259D3,SITE_042,Monsoon,East,10,29,45,8.54,3.94,0.684,35.0
Articulated Truck,745,SITE_025,Winter,South,2,48,21,8.6,3.35,0.7195,37.0
Compact Track Loader,259D3,SITE_009,PostMonsoon,North,5,28,18,7.48,3.59,0.6755,29.0
Backhoe Loader,420,SITE_005,Winter,North,6,47,21,6.91,3.17,0.6854,33.0
Backhoe Loader,420,SITE_014,Winter,South,2,65,23,10.55,1.64,0.8655,31.0
Motor Grader,140,SITE_044,Monsoon,North,5,74,15,7.16,1.61,0.8162,25.0
Compact Track Loader,259D3,SITE_029,Winter,East,2,84,28,9.0,3.35,0.7286,33.0
Bulldozer,D8,SITE_015,Winter,West,12,53,38,4.37,1.25,0.7776,47.0
Motor Grader,140,SITE_047,Winter,East,10,18,31,9.58,1.15,0.8924,40.0
Articulated Truck,745,SITE_017,Summer,South,5,33,21,8.27,3.24,0.7188,41.0
Excavator,320 GC,SITE_001,PostMonsoon,South,2,53,16,5.03,3.72,0.5748,41.0
Backhoe Loader,420,SITE_026,Monsoon,West,8,44,42,10.34,1.34,0.8851,37.0
Excavator,336,SITE_003,Summer,West,5,88,2,4.72,1.14,0.8062,54.0
Articulated Truck,745,SITE_038,Monsoon,East,4,37,14,9.95,3.6,0.7342,31.0
Wheel Loader,966,SITE_006,Monsoon,East,12,76,16,7.06,1.95,0.7836,35.0
Motor Grader,140,SITE_045,Summer,East,6,20,4,5.09,2.1,0.7081,31.0
Bulldozer,D6,SITE_045,PostMonsoon,North,11,66,43,10.29,1.84,0.8484,54.0
Excavator,320 GC,SITE_020,Winter,South,10,30,9,7.38,2.22,0.7692,33.0
Bulldozer,D8,SITE_013,Winter,North,10,32,18,6.41,1.97,0.7646,43.0
Wheel Loader,950 GC,SITE_005,PostMonsoon,West,8,21,46,9.56,1.87,0.8364,52.0
Excavator,336,SITE_016,Winter,South,2,12,45,7.07,2.68,0.7248,57.0
Wheel Loader,950 GC,SITE_030,Winter,West,12,45,35,8.42,1.04,0.8901,43.0
Compact Track Loader,259D3,SITE_033,Summer,West,1,7,48,6.76,2.21,0.7541,45.0
Bulldozer,D6,SITE_044,Monsoon,North,7,76,4,6.23,2.56,0.7089,24.0
Wheel Loader,966,SITE_045,Monsoon,West,3,63,36,10.27,1.44,0.877,42.0
Wheel Loader,966,SITE_010,Summer,South,11,82,10,4.01,3.92,0.5053,44.0
Bulldozer,D6,SITE_040,PostMonsoon,West,4,15,3,7.98,2.05,0.7961,28.0
Wheel Loader,950 GC,SITE_019,PostMonsoon,East,7,66,35,5.25,1.71,0.7543,45.0
Compact Track Loader,259D3,SITE_008,Winter,South,4,33,48,6.9,3.17,0.6853,38.0
Motor Grader,140,SITE_022,Summer,South,2,68,32,6.52,3.11,0.6769,44.0
Bulldozer,D8,SITE_032,Summer,East,9,39,8,4.66,1.94,0.7066,42.0
Wheel Loader,966,SITE_022,Monsoon,South,7,34,10,7.33,3.35,0.6864,30.0
Articulated Truck,745,SITE_010,Summer,West,10,80,38,7.57,3.09,0.7102,44.0
Articulated Truck,745,SITE_017,Monsoon,West,2,48,43,6.9,2.3,0.75,39.0
Excavator,336,SITE_005,PostMonsoon,East,9,26,9,6.38,2.65,0.7062,50.0
Bulldozer,D6,SITE_025,Monsoon,South,10,26,7,5.84,2.09,0.7366,27.0
Articulated Truck,745,SITE_019,Monsoon,South,2,15,14,7.08,1.58,0.818,26.0
Wheel Loader,950 GC,SITE_010,Monsoon,North,10,54,42,4.86,1.75,0.7351,40.0
Backhoe Loader,420,SITE_036,Winter,South,3,11,45,5.59,1.1,0.836,40.0
Bulldozer,D8,SITE_028,Summer,North,11,18,20,9.74,2.43,0.8005,47.0
Bulldozer,D8,SITE_004,Winter,South,9,23,34,7.55,3.11,0.7085,47.0
Motor Grader,140,SITE_029,Monsoon,East,3,18,5,4.09,3.57,0.5339,21.0
Excavator,320 GC,SITE_031,Winter,East,8,75,2,8.28,3.24,0.7189,30.0
Backhoe Loader,420,SITE_043,Winter,West,3,75,47,10.15,2.15,0.825,44.0
Bulldozer,D6,SITE_018,Monsoon,South,4,9,45,6.29,2.92,0.6826,38.0
Articulated Truck,745,SITE_046,PostMonsoon,East,9,38,7,7.2,3.81,0.6539,34.0
Bulldozer,D6,SITE_045,Monsoon,East,2,14,6,8.08,1.77,0.8206,26.0
Compact Track Loader,259D3,SITE_042,Monsoon,East,11,88,49,4.99,3.79,0.5684,31.0
Wheel Loader,966,SITE_023,Monsoon,West,12,79,44,5.23,1.5,0.7771,48.0
Bulldozer,D6,SITE_003,Summer,East,4,51,36,4.28,2.81,0.6041,49.0
Compact Track Loader,259D3,SITE_036,Winter,East,1,23,31,8.75,1.79,0.8306,34.0
Wheel Loader,950 GC,SITE_020,Summer,East,7,68,45,4.93,2.38,0.6749,53.0
Bulldozer,D8,SITE_019,Monsoon,North,4,70,21,7.56,3.54,0.6808,34.0
Articulated Truck,745,SITE_008,PostMonsoon,North,4,72,2,7.37,3.9,0.6537,29.0
Articulated Truck,745,SITE_024,Monsoon,South,7,16,31,5.99,1.12,0.8426,34.0
Bulldozer,D6,SITE_002,Winter,West,2,27,37,4.59,3.42,0.5728,41.0
Wheel Loader,966,SITE_002,Monsoon,West,10,36,39,10.63,1.27,0.8933,45.0
Wheel Loader,950 GC,SITE_027,Monsoon,West,1,67,48,10.14,3.28,0.7556,43.0
Wheel Loader,966,SITE_016,Winter,North,1,23,6,4.69,3.27,0.5896,37.0
Excavator,336,SITE_032,Summer,North,6,33,34,10.88,1.53,0.8766,66.0
Wheel Loader,966,SITE_003,Summer,East,10,10,2,8.32,3.93,0.6792,45.0
Compact Track Loader,259D3,SITE_008,Monsoon,North,9,48,31,10.32,1.2,0.896,37.0
Bulldozer,D6,SITE_010,Summer,West,2,70,23,7.25,3.82,0.6547,46.0
Bulldozer,D6,SITE_027,PostMonsoon,North,5,37,16,8.45,1.13,0.882,40.0
Excavator,336,SITE_037,Summer,South,12,48,14,8.76,3.77,0.6992,53.0
Excavator,320 GC,SITE_028,Summer,South,9,49,7,10.23,3.25,0.7592,43.0
Excavator,336,SITE_017,Monsoon,West,3,35,23,9.86,3.59,0.7328,41.0
Motor Grader,140,SITE_028,PostMonsoon,East,8,16,22,8.66,3.41,0.7171,38.0
Motor Grader,140,SITE_032,Winter,North,6,55,26,8.34,3.37,0.7124,38.0
Wheel Loader,950 GC,SITE_043,Summer,North,5,42,34,7.19,2.12,0.7724,52.0
Articulated Truck,745,SITE_021,Monsoon,South,6,43,44,7.43,2.24,0.7684,40.0
Articulated Truck,745,SITE_005,Winter,North,10,39,18,4.3,2.65,0.6184,32.0
Bulldozer,D6,SITE_010,PostMonsoon,South,4,48,45,5.5,2.86,0.6579,51.0
Motor Grader,140,SITE_021,PostMonsoon,West,3,37,16,10.74,3.19,0.7711,31.0
Excavator,336,SITE_010,PostMonsoon,East,8,53,21,6.46,1.38,0.8243,53.0
Bulldozer,D8,SITE_039,PostMonsoon,East,4,26,22,9.94,2.19,0.8193,49.0
Compact Track Loader,259D3,SITE_049,Winter,West,12,43,28,7.39,3.21,0.6976,31.0
Bulldozer,D8,SITE_030,Winter,East,8,34,5,10.11,2.47,0.8035,35.0
Wheel Loader,950 GC,SITE_047,Monsoon,East,2,84,26,9.4,2.49,0.7907,35.0
Bulldozer,D8,SITE_026,Winter,East,3,47,2,8.53,3.65,0.7002,34.0
Motor Grader,140,SITE_029,PostMonsoon,West,1,11,19,9.03,1.64,0.8461,32.0
Compact Track Loader,259D3,SITE_011,Monsoon,West,8,83,33,9.01,1.2,0.8828,37.0
Excavator,336,SITE_046,Winter,East,2,42,25,9.97,1.91,0.8393,49.0
Wheel Loader,966,SITE_010,Summer,West,8,76,49,8.78,3.27,0.7285,60.0
Wheel Loader,966,SITE_027,PostMonsoon,East,4,40,33,6.02,1.48,0.8032,54.0
Articulated Truck,745,SITE_038,Monsoon,South,11,22,2,10.18,3.33,0.7538,23.0
Wheel Loader,966,SITE_014,Winter,North,2,83,18,4.69,1.04,0.8189,43.0
Excavator,320 GC,SITE_008,Monsoon,South,10,71,6,7.87,3.51,0.6918,32.0
Compact Track Loader,259D3,SITE_003,Winter,East,1,34,23,7.84,1.82,0.8117,30.0
Wheel Loader,966,SITE_020,Summer,West,9,73,45,10.01,1.41,0.8767,63.0
Excavator,336,SITE_016,Summer,West,7,36,12,5.31,1.93,0.7333,53.0
Backhoe Loader,420,SITE_029,PostMonsoon,North,12,43,47,6.62,3.3,0.6669,41.0
Wheel Loader,966,SITE_016,Winter,North,2,38,25,6.71,1.29,0.8382,45.0
Excavator,320 GC,SITE_021,Summer,North,12,31,32,4.19,3.9,0.5183,48.0
Bulldozer,D8,SITE_007,Summer,East,3,86,35,6.78,2.2,0.7549,57.0
Wheel Loader,966,SITE_011,Winter,North,8,59,16,7.93,2.58,0.7546,40.0
Bulldozer,D6,SITE_050,PostMonsoon,East,3,86,44,7.6,2.59,0.7458,48.0
Bulldozer,D8,SITE_032,PostMonsoon,West,10,65,25,6.62,3.57,0.6498,48.0
Excavator,320 GC,SITE_030,Winter,East,4,21,18,5.66,2.99,0.6544,39.0
Backhoe Loader,420,SITE_036,Monsoon,West,2,8,7,9.12,3.73,0.7097,21.0
Wheel Loader,950 GC,SITE_028,Winter,South,4,83,24,10.24,3.5,0.7453,40.0
Bulldozer,D8,SITE_045,Monsoon,East,3,15,16,5.38,1.41,0.7924,32.0
Backhoe Loader,420,SITE_022,Monsoon,West,10,85,46,9.26,1.49,0.8614,36.0
Excavator,336,SITE_014,Monsoon,South,11,70,9,7.71,2.04,0.7912,34.0
Backhoe Loader,420,SITE_023,Winter,East,9,48,37,9.77,3.1,0.759,36.0
Motor Grader,140,SITE_016,Summer,West,10,65,3,5.76,3.14,0.6474,30.0
Wheel Loader,950 GC,SITE_040,Monsoon,West,3,15,33,9.94,3.48,0.7407,36.0
Bulldozer,D6,SITE_026,Summer,South,12,68,32,7.71,1.9,0.8027,49.0
Bulldozer,D8,SITE_020,PostMonsoon,West,6,38,31,10.47,2.6,0.801,48.0
Motor Grader,140,SITE_014,Winter,South,2,69,23,7.67,1.64,0.8235,29.0
Wheel Loader,966,SITE_007,PostMonsoon,West,8,30,33,5.25,2.48,0.6794,56.0
Wheel Loader,950 GC,SITE_005,PostMonsoon,East,12,29,26,6.19,3.58,0.6337,44.0
Compact Track Loader,259D3,SITE_045,Winter,South,5,9,15,6.3,3.15,0.6666,27.0
Bulldozer,D8,SITE_047,PostMonsoon,North,7,11,16,7.23,2.72,0.727,41.0
Motor Grader,140,SITE_040,Winter,West,4,87,21,4.19,2.37,0.639,30.0
Motor Grader,140,SITE_006,PostMonsoon,South,6,24,3,5.33,2.71,0.663,26.0
Wheel Loader,966,SITE_007,PostMonsoon,West,11,50,46,5.95,2.21,0.7293,53.0
Backhoe Loader,420,SITE_036,PostMonsoon,West,3,69,3,10.29,1.9,0.8441,23.0
Excavator,320 GC,SITE_035,Monsoon,West,12,23,19,6.0,2.5,0.7061,28.0
Bulldozer,D8,SITE_033,Summer,South,1,10,49,10.51,3.86,0.7315,61.0
Motor Grader,140,SITE_044,Winter,East,7,20,4,7.32,3.75,0.6613,25.0
Motor Grader,140,SITE_029,PostMonsoon,South,7,46,42,6.04,1.5,0.8015,45.0
Bulldozer,D8,SITE_004,Winter,East,1,38,22,10.54,1.99,0.8414,43.0
Bulldozer,D6,SITE_043,Summer,West,9,65,5,4.57,1.77,0.7205,39.0
Excavator,320 GC,SITE_049,PostMonsoon,East,5,36,15,6.35,1.99,0.7615,40.0
Wheel Loader,950 GC,SITE_006,PostMonsoon,North,9,82,40,6.26,3.34,0.652,52.0
Wheel Loader,966,SITE_044,Monsoon,South,11,7,33,9.76,3.31,0.7465,44.0
Backhoe Loader,420,SITE_007,Winter,East,8,75,23,9.11,1.67,0.8454,32.0
Bulldozer,D8,SITE_046,Monsoon,South,9,29,13,8.5,2.94,0.7427,36.0
Articulated Truck,745,SITE_032,PostMonsoon,South,9,40,31,9.76,1.7,0.8513,44.0
Compact Track Loader,259D3,SITE_006,PostMonsoon,South,6,86,27,4.33,1.02,0.8095,38.0
Excavator,320 GC,SITE_019,Winter,West,1,51,3,9.7,2.23,0.8134,35.0
Wheel Loader,966,SITE_020,Winter,East,12,66,30,9.99,3.05,0.7661,43.0
Excavator,320 GC,SITE_018,Winter,West,10,30,48,5.54,1.0,0.8465,54.0
Bulldozer,D8,SITE_015,PostMonsoon,West,8,25,7,7.33,3.23,0.6943,41.0
Excavator,336,SITE_033,Monsoon,West,6,69,27,8.01,1.48,0.8437,42.0
Wheel Loader,966,SITE_043,PostMonsoon,South,5,51,13,9.58,1.06,0.9005,50.0
Backhoe Loader,420,SITE_030,Monsoon,West,12,89,45,4.62,1.18,0.797,36.0
Excavator,320 GC,SITE_004,PostMonsoon,North,1,67,15,10.79,2.8,0.794,45.0
Backhoe Loader,420,SITE_002,Winter,South,2,54,18,5.1,2.15,0.7031,30.0
Motor Grader,140,SITE_041,Monsoon,North,1,48,32,10.55,1.75,0.8574,33.0
Compact Track Loader,259D3,SITE_040,Monsoon,East,5,89,17,9.01,1.58,0.8505,27.0
Backhoe Loader,420,SITE_016,Summer,North,8,64,29,7.04,1.6,0.8153,40.0
Articulated Truck,745,SITE_046,Winter,West,1,10,44,6.54,2.51,0.7227,42.0
Wheel Loader,950 GC,SITE_043,Monsoon,West,7,29,2,10.37,3.77,0.7332,26.0
Articulated Truck,745,SITE_044,Summer,South,9,27,44,8.63,3.19,0.7298,49.0
Excavator,320 GC,SITE_010,Summer,South,10,53,10,8.3,1.99,0.8064,46.0
Wheel Loader,966,SITE_045,Monsoon,East,4,10,42,6.07,3.97,0.6045,42.0
Excavator,336,SITE_007,Monsoon,East,8,55,19,7.86,2.2,0.7817,40.0
Bulldozer,D6,SITE_036,Winter,South,3,78,36,8.84,1.1,0.889,47.0
Bulldozer,D6,SITE_030,PostMonsoon,West,3,43,5,5.55,3.89,0.5878,34.0
Backhoe Loader,420,SITE_016,Summer,East,9,44,33,10.17,2.64,0.7942,40.0
Excavator,336,SITE_045,PostMonsoon,West,10,21,37,8.86,2.23,0.7986,59.0
Backhoe Loader,420,SITE_015,Summer,West,5,52,12,7.72,1.52,0.8355,31.0
Excavator,320 GC,SITE_026,Monsoon,West,1,70,32,5.98,3.46,0.6336,38.0
Bulldozer,D8,SITE_046,PostMonsoon,South,1,34,33,8.99,1.17,0.8846,55.0
Excavator,336,SITE_045,Winter,South,1,17,37,5.16,3.87,0.5714,51.0
Bulldozer,D8,SITE_037,Monsoon,South,10,88,14,9.51,2.3,0.8049,34.0
Motor Grader,140,SITE_031,Winter,North,4,22,11,5.1,1.73,0.7467,28.0
Bulldozer,D6,SITE_016,Winter,West,2,54,46,4.87,1.72,0.7392,48.0
Motor Grader,140,SITE_019,Summer,East,6,19,27,5.27,3.31,0.614,37.0
Wheel Loader,950 GC,SITE_003,PostMonsoon,North,2,87,39,8.46,3.42,0.7123,54.0
Excavator,336,SITE_014,Winter,West,8,87,10,8.84,2.17,0.803,41.0
Backhoe Loader,420,SITE_021,PostMonsoon,East,1,45,26,9.8,2.66,0.7865,38.0
Excavator,320 GC,SITE_034,Summer,East,2,42,7,9.55,3.27,0.7448,44.0
Backhoe Loader,420,SITE_031,Monsoon,North,4,85,31,6.18,2.91,0.6799,30.0
Backhoe Loader,420,SITE_043,PostMonsoon,East,1,30,21,7.87,1.98,0.799,34.0
Excavator,336,SITE_013,Monsoon,East,4,89,14,7.15,2.48,0.7425,37.0
Backhoe Loader,420,SITE_042,PostMonsoon,West,8,32,34,8.53,1.66,0.8371,37.0
Wheel Loader,966,SITE_028,Monsoon,South,2,55,41,5.18,1.49,0.7763,47.0
Backhoe Loader,420,SITE_002,Summer,North,3,74,36,6.9,2.11,0.7655,38.0
Backhoe Loader,420,SITE_049,Monsoon,East,7,19,23,10.16,2.49,0.8031,28.0
Wheel Loader,966,SITE_011,Monsoon,South,5,59,49,7.55,2.83,0.7274,47.0
Bulldozer,D6,SITE_001,PostMonsoon,North,9,10,10,8.41,1.42,0.8553,38.0
Backhoe Loader,420,SITE_020,Winter,North,11,21,29,7.38,1.63,0.8191,32.0
Excavator,320 GC,SITE_042,Summer,East,3,70,45,5.78,2.48,0.6997,59.0
Bulldozer,D8,SITE_017,Monsoon,North,6,20,27,10.03,3.83,0.7238,36.0
Bulldozer,D8,SITE_014,Summer,West,2,16,28,6.56,3.6,0.646,52.0
Backhoe Loader,420,SITE_041,Summer,East,9,73,31,5.6,3.22,0.6354,39.0
Wheel Loader,966,SITE_039,Summer,North,6,61,41,10.1,3.03,0.7693,57.0
Excavator,336,SITE_025,Monsoon,South,8,62,15,6.88,2.36,0.7449,41.0
Wheel Loader,966,SITE_035,Winter,South,8,26,16,5.68,1.09,0.8392,42.0
Compact Track Loader,259D3,SITE_046,Summer,North,6,38,17,8.88,1.69,0.8402,33.0
Bulldozer,D6,SITE_028,PostMonsoon,South,11,29,34,9.96,3.94,0.7166,43.0
Excavator,320 GC,SITE_030,PostMonsoon,West,12,70,35,9.86,1.5,0.8678,55.0
Motor Grader,140,SITE_008,Summer,West,10,16,30,6.72,2.72,0.7117,39.0
Wheel Loader,966,SITE_037,Summer,South,7,80,45,5.29,1.47,0.7822,61.0
Backhoe Loader,420,SITE_013,Monsoon,East,8,36,16,6.97,3.11,0.6914,24.0
Bulldozer,D8,SITE_049,PostMonsoon,South,2,25,27,10.84,1.65,0.8678,51.0
Backhoe Loader,420,SITE_043,Monsoon,East,5,82,25,5.59,2.35,0.7035,29.0
Excavator,336,SITE_018,PostMonsoon,West,6,51,26,7.86,1.63,0.8283,58.0
Motor Grader,140,SITE_029,Winter,West,12,51,43,4.86,2.51,0.6595,40.0
Wheel Loader,950 GC,SITE_016,Summer,North,7,40,49,9.93,2.71,0.7858,60.0
Articulated Truck,745,SITE_043,Summer,South,10,7,39,10.68,2.84,0.7901,43.0
Wheel Loader,950 GC,SITE_009,Monsoon,North,12,10,33,9.44,2.45,0.7937,38.0
Articulated Truck,745,SITE_007,PostMonsoon,North,11,56,28,10.14,2.61,0.7955,44.0
Bulldozer,D8,SITE_007,Summer,West,10,76,21,7.33,3.5,0.6767,47.0
Excavator,320 GC,SITE_033,PostMonsoon,South,7,20,29,5.14,1.26,0.8029,51.0
Motor Grader,140,SITE_028,PostMonsoon,North,9,58,18,6.16,3.49,0.6386,36.0
Wheel Loader,966,SITE_004,Monsoon,West,1,41,47,4.7,2.93,0.6154,47.0
Excavator,320 GC,SITE_002,PostMonsoon,North,12,22,17,6.93,3.72,0.6507,46.0
Backhoe Loader,420,SITE_040,Winter,South,2,55,4,10.73,3.25,0.7676,23.0
Compact Track Loader,259D3,SITE_006,Winter,North,8,16,11,6.52,1.13,0.8518,23.0
Excavator,320 GC,SITE_010,PostMonsoon,North,2,13,8,4.98,1.19,0.8066,42.0
Compact Track Loader,259D3,SITE_026,Winter,North,2,80,4,9.42,1.48,0.8645,23.0
Articulated Truck,745,SITE_020,Summer,East,9,19,12,8.25,3.9,0.6789,35.0
Articulated Truck,745,SITE_043,Summer,East,9,73,47,9.64,2.68,0.7827,51.0
Bulldozer,D6,SITE_033,Summer,South,7,61,2,10.93,2.22,0.8314,36.0
Wheel Loader,966,SITE_041,Winter,North,9,35,47,4.14,1.81,0.6961,53.0
Backhoe Loader,420,SITE_015,Summer,West,3,37,12,6.11,1.85,0.7673,34.0
Articulated Truck,745,SITE_049,PostMonsoon,East,10,53,7,7.91,2.89,0.7323,35.0
Bulldozer,D6,SITE_050,PostMonsoon,West,9,81,22,5.61,2.56,0.6868,39.0
Bulldozer,D6,SITE_005,Monsoon,North,10,60,4,6.04,3.95,0.605,23.0
Excavator,320 GC,SITE_004,Winter,North,1,76,35,7.21,2.26,0.7617,48.0
