equipment_type,model,equipment_age,engine_hours_per_day,idle_hours_per_day,fuel_level,engine_temperature,battery_voltage,days_since_last_service,fault_code_count,total_operating_hours,target_maintenance_probability,target_days_until_service,target_confidence
Compact Track Loader,259D3,10,2.82,4.23,69.26,73.05,13.17,70,5,11922.87,0.4102,53.4,0.9462
Backhoe Loader,420,11,9.26,5.94,30.82,83.86,12.88,182,6,9379.71,0.5689,37.1,0.9556
Compact Track Loader,259D3,7,9.49,5.79,13.8,77.25,12.64,123,5,5279.09,0.3937,56.4,0.9524
Bulldozer,D6,4,8.1,3.63,15.39,99.72,13.86,70,7,6795.9,0.4413,49.5,0.9456
Wheel Loader,966,3,4.12,3.37,71.84,72.67,13.14,174,3,5892.03,0.3305,59.7,0.9097
Excavator,336,7,9.85,4.65,30.6,96.82,11.9,56,4,7034.4,0.3296,60.0,0.8932
Bulldozer,D8,6,4.74,5.81,88.82,99.86,12.03,217,5,6483.43,0.5704,40.9,0.9655
Excavator,336,6,2.09,2.5,47.23,93.01,13.99,245,7,5287.88,0.626,33.3,0.9176
Wheel Loader,950 GC,7,13.8,2.76,39.44,73.09,13.86,68,3,9341.66,0.2647,67.5,0.8588
Bulldozer,D6,3,3.85,1.52,72.12,83.02,12.27,178,0,4054.6,0.2233,70.1,0.8142
Articulated Truck,745,10,3.2,5.63,94.38,87.26,13.95,62,2,2334.26,0.2742,63.0,0.8761
Wheel Loader,966,3,11.47,5.06,99.86,91.21,12.17,116,2,5515.67,0.2401,69.9,0.8418
Wheel Loader,950 GC,6,2.83,5.59,19.16,96.52,14.22,100,7,2700.7,0.4713,50.5,0.99
Backhoe Loader,420,9,9.1,5.06,15.25,79.05,13.2,167,4,9854.46,0.4722,50.2,0.971
Motor Grader,140,10,10.24,3.85,17.2,76.29,14.23,188,0,2976.4,0.3557,57.9,0.92
Motor Grader,140,8,5.46,5.3,84.91,87.58,13.62,194,6,5698.52,0.5873,37.1,0.952
Articulated Truck,745,7,10.38,2.42,14.05,91.84,13.48,219,0,4353.77,0.3408,60.9,0.9203
Excavator,320 GC,6,2.87,3.91,47.78,84.86,12.2,128,6,6012.7,0.4479,47.4,0.9586
Excavator,320 GC,4,2.87,0.71,87.7,91.75,13.84,222,6,4204.81,0.5407,44.3,0.9686
Excavator,320 GC,11,8.62,1.36,52.73,96.71,13.03,32,0,1115.47,0.2012,72.9,0.8106
Articulated Truck,745,7,2.09,4.95,94.78,95.4,13.11,114,7,1776.43,0.4669,49.4,0.9868
Bulldozer,D8,4,13.07,5.45,81.18,106.9,12.37,148,1,3260.71,0.396,51.4,0.939
Excavator,320 GC,1,3.63,5.67,62.49,95.27,14.5,35,7,6300.24,0.3406,59.9,0.913
Wheel Loader,966,8,3.73,4.85,47.56,96.09,14.12,168,4,1284.27,0.4784,44.9,0.99
Backhoe Loader,420,10,11.82,2.5,64.0,73.45,12.86,13,3,8719.25,0.2191,69.9,0.8368
Bulldozer,D8,4,9.94,0.93,44.23,96.3,12.56,255,7,6843.22,0.6215,35.7,0.928
Excavator,336,3,2.81,4.31,60.65,87.24,11.87,231,6,4407.94,0.5172,46.4,0.99
Wheel Loader,950 GC,8,7.51,3.37,88.58,72.19,12.98,69,4,1285.45,0.3776,58.6,0.9343
Motor Grader,140,7,8.2,1.53,11.0,84.78,13.08,289,1,5660.88,0.4553,50.1,0.9579
Bulldozer,D6,5,4.8,5.51,58.3,78.01,13.51,154,6,9223.14,0.4769,50.8,0.99
Articulated Truck,745,2,4.02,0.61,93.8,110.06,13.86,22,0,2233.63,0.2206,72.2,0.8239
Wheel Loader,966,2,3.88,0.83,66.44,73.75,12.21,172,3,5411.69,0.3541,58.4,0.9138
Bulldozer,D8,4,2.69,5.82,62.67,87.19,13.38,150,5,2656.5,0.4141,50.9,0.9655
Articulated Truck,745,10,9.87,5.27,71.07,95.9,13.48,49,4,5616.14,0.3385,58.0,0.9124
Motor Grader,140,1,13.41,3.67,57.67,98.59,12.07,32,5,2848.92,0.2681,63.8,0.8621
Compact Track Loader,259D3,4,11.67,4.12,53.01,78.79,12.35,67,3,7585.47,0.232,69.1,0.8499
Excavator,320 GC,5,11.71,4.57,50.1,98.89,14.24,95,0,6074.93,0.2231,67.2,0.8327
Bulldozer,D6,7,12.13,3.49,86.52,94.35,12.55,65,2,6078.36,0.2451,68.3,0.8415
Bulldozer,D8,11,12.19,5.68,70.92,103.95,13.69,248,7,3411.3,0.776,20.1,0.8371
Wheel Loader,950 GC,11,3.36,4.13,64.57,83.29,13.95,33,0,9688.68,0.1634,76.0,0.8001
Backhoe Loader,420,5,7.62,2.16,27.17,73.63,11.71,134,1,2527.01,0.2293,69.8,0.8484
Compact Track Loader,259D3,4,13.19,4.15,16.72,90.31,13.59,49,3,3361.22,0.2264,68.3,0.8477
Bulldozer,D8,8,5.2,1.18,18.66,85.43,12.24,283,7,3233.87,0.6939,28.5,0.8801
Bulldozer,D8,4,8.11,0.51,17.39,104.22,12.5,37,5,5431.27,0.4081,50.8,0.9326
Wheel Loader,966,2,5.3,3.72,36.83,75.2,12.37,69,0,7677.95,0.088,81.1,0.7525
Articulated Truck,745,11,7.95,4.22,31.38,99.38,12.29,263,7,9860.77,0.7384,21.7,0.8569
Bulldozer,D6,10,3.06,2.89,90.92,77.62,13.58,209,5,4377.77,0.5372,41.6,0.9721
Backhoe Loader,420,10,7.43,4.77,44.95,82.6,13.12,84,7,5621.3,0.5032,43.0,0.99
Wheel Loader,950 GC,8,4.48,4.78,18.06,79.56,13.02,206,5,627.14,0.5078,45.7,0.99
Excavator,336,5,12.87,4.09,82.45,104.78,14.45,153,2,3539.52,0.4121,52.1,0.9701
Articulated Truck,745,4,7.62,3.89,59.08,96.47,13.54,85,0,7893.97,0.149,74.5,0.7716
Backhoe Loader,420,3,11.43,0.87,25.8,97.28,13.2,37,1,4965.72,0.1693,72.3,0.8177
Excavator,320 GC,7,3.89,5.72,31.56,88.87,11.68,89,3,11171.95,0.2841,63.1,0.8673
Backhoe Loader,420,2,6.38,0.8,82.07,73.9,14.49,69,6,11497.88,0.3473,58.5,0.9057
Wheel Loader,966,5,10.31,0.85,28.06,91.29,14.22,243,6,4323.26,0.5597,38.1,0.9587
Bulldozer,D8,10,3.48,5.52,63.17,86.74,12.19,39,1,11548.74,0.1958,72.0,0.8192
Bulldozer,D8,11,11.95,3.36,63.58,106.44,13.66,82,0,9440.11,0.3741,58.5,0.9147
Articulated Truck,745,11,2.44,2.08,79.63,98.02,12.73,209,2,6219.66,0.4884,46.1,0.99
Articulated Truck,745,11,6.22,2.39,92.23,93.92,13.62,61,2,8909.73,0.286,64.8,0.8681
Bulldozer,D6,8,2.3,2.95,23.47,98.19,11.54,175,7,11319.65,0.6023,35.3,0.9446
Compact Track Loader,259D3,9,6.55,5.72,63.96,84.45,12.03,59,6,9069.29,0.4076,50.4,0.9373
Wheel Loader,966,1,7.08,5.14,57.87,85.53,12.46,148,7,11886.14,0.4501,51.8,0.9551
Excavator,336,8,3.8,3.05,85.56,111.51,12.65,110,5,1865.14,0.5983,35.4,0.9252
Articulated Truck,745,10,11.98,0.61,53.79,99.29,11.67,87,2,9594.59,0.3615,56.1,0.9114
Motor Grader,140,10,2.13,3.21,16.43,93.79,12.64,208,0,3041.81,0.3975,55.9,0.9421
Bulldozer,D6,8,9.75,3.6,67.33,73.74,11.71,151,2,1156.82,0.3653,58.2,0.918
Backhoe Loader,420,1,13.07,5.69,75.4,99.35,14.27,203,0,11930.19,0.2726,66.1,0.8643
Bulldozer,D6,6,5.23,3.85,78.63,96.22,14.15,111,5,9947.23,0.3877,55.6,0.917
Wheel Loader,950 GC,7,9.7,4.64,87.2,89.86,12.56,46,6,11528.91,0.3734,56.5,0.9234
Backhoe Loader,420,8,11.84,3.03,33.76,96.49,12.89,119,2,5440.3,0.3614,56.0,0.9044
Articulated Truck,745,7,3.37,5.0,35.75,102.36,12.36,165,2,9849.83,0.4502,47.5,0.9585
Wheel Loader,950 GC,9,2.95,2.54,58.66,91.42,13.2,100,0,2918.21,0.2434,69.2,0.8515
Wheel Loader,966,6,3.16,1.3,56.58,88.0,12.9,140,4,6578.04,0.394,54.6,0.9231
Bulldozer,D8,7,4.27,1.72,39.98,107.47,13.79,289,3,7477.29,0.6708,30.6,0.8891
Excavator,320 GC,4,11.03,1.75,73.89,81.98,14.32,138,7,11215.52,0.4405,49.5,0.9691
Backhoe Loader,420,8,9.76,4.88,15.03,83.23,13.43,133,1,4525.71,0.2979,64.2,0.8748
Excavator,336,11,3.99,5.6,12.98,99.88,12.73,75,7,5109.41,0.5589,40.1,0.9593
Excavator,336,6,5.14,4.11,20.1,109.31,12.93,196,7,11458.89,0.7025,29.8,0.8698
Wheel Loader,950 GC,5,4.3,3.25,47.44,92.21,11.65,268,6,6003.22,0.5977,36.3,0.9292
Excavator,336,9,8.29,2.46,43.9,93.01,11.56,213,3,3589.79,0.4445,51.5,0.9748
Articulated Truck,745,6,2.75,4.32,50.25,104.1,11.61,17,4,5640.73,0.3186,62.3,0.8642
Articulated Truck,745,9,13.23,4.38,17.64,84.38,12.13,52,2,6159.73,0.225,69.9,0.8211
Articulated Truck,745,5,13.3,1.45,11.78,94.67,13.75,15,2,1089.71,0.1717,73.7,0.8154
Wheel Loader,966,7,13.09,4.95,38.06,100.21,11.82,189,7,9256.14,0.6009,33.6,0.9329
Motor Grader,140,9,11.31,3.62,18.6,84.62,13.04,190,0,9464.07,0.3238,60.8,0.8855
Excavator,336,2,4.45,4.15,46.49,106.82,11.78,168,6,10410.1,0.5509,39.0,0.98
Excavator,336,11,10.24,4.05,19.94,111.57,13.19,157,6,11623.34,0.6579,31.0,0.894
Wheel Loader,950 GC,9,10.84,5.45,33.55,79.24,12.58,95,5,2738.38,0.4246,50.3,0.9634
Articulated Truck,745,6,2.5,5.97,38.15,86.86,14.45,267,7,2211.87,0.6526,31.0,0.9111
Bulldozer,D8,10,6.46,2.45,46.53,105.97,11.53,293,1,11829.27,0.6066,31.7,0.9217
Wheel Loader,950 GC,2,4.44,0.86,82.12,77.3,13.69,89,1,3632.39,0.1834,75.1,0.802
Motor Grader,140,1,3.09,3.77,87.67,74.38,13.4,223,3,4317.32,0.3911,53.8,0.9239
Wheel Loader,966,9,13.34,2.34,77.21,100.7,11.79,107,2,9989.55,0.3438,57.6,0.894
Excavator,320 GC,11,6.8,4.16,96.07,98.61,13.6,159,3,10573.29,0.4794,47.2,0.9877
Backhoe Loader,420,1,12.99,3.66,43.1,82.29,14.3,283,3,5565.58,0.4821,48.5,0.99
Articulated Truck,745,3,12.44,3.85,62.42,93.27,11.72,110,1,2245.14,0.2044,70.6,0.8191
Wheel Loader,966,3,10.62,1.44,76.82,84.93,13.32,21,0,10294.05,0.0605,84.3,0.7334
Bulldozer,D8,8,12.35,1.98,57.0,94.28,11.58,212,5,4837.8,0.5541,40.6,0.956
Motor Grader,140,6,12.65,4.01,45.09,90.0,13.43,80,1,10451.88,0.2332,69.2,0.8535
Excavator,320 GC,5,13.44,5.81,29.85,75.1,13.36,165,1,6073.19,0.2781,67.9,0.8726
Wheel Loader,966,5,5.94,4.24,74.97,91.6,11.84,212,3,8164.53,0.3804,54.5,0.9269
Bulldozer,D8,7,7.73,5.58,44.26,98.28,14.12,91,1,3341.17,0.2691,63.4,0.8773
Wheel Loader,966,4,13.07,1.82,65.75,85.29,11.77,161,3,1271.52,0.3733,56.4,0.9359
Bulldozer,D6,1,7.3,2.77,36.97,88.89,11.98,201,1,7874.65,0.2555,64.5,0.8442
Excavator,320 GC,11,10.81,5.91,76.12,74.21,13.4,27,2,9270.89,0.2162,68.0,0.8303
Bulldozer,D8,8,2.1,0.51,94.26,100.24,13.22,189,7,3032.07,0.6199,36.2,0.9383
Wheel Loader,966,10,13.65,4.57,59.33,95.0,14.49,88,0,1524.61,0.2485,69.7,0.8527
Wheel Loader,966,8,4.33,2.3,78.95,86.32,11.91,62,5,6971.53,0.3915,56.8,0.9518
Excavator,336,6,2.03,1.11,12.28,87.07,11.72,111,5,6692.89,0.3919,55.6,0.9375
Wheel Loader,950 GC,6,7.62,4.22,38.36,83.07,13.91,237,4,6706.16,0.5127,44.7,0.989
Compact Track Loader,259D3,2,6.12,2.42,57.35,93.99,13.03,69,3,2918.7,0.213,71.8,0.8182
Articulated Truck,745,11,4.06,4.86,30.36,104.47,12.12,141,6,3893.66,0.6349,33.6,0.9358
Wheel Loader,950 GC,7,6.21,1.7,40.3,77.78,11.89,284,6,2188.13,0.6712,28.8,0.8973
Wheel Loader,966,9,7.93,4.91,95.23,94.27,13.73,45,3,4576.38,0.2793,63.3,0.8497
Articulated Truck,745,3,7.56,5.02,41.91,93.41,12.4,118,1,10843.14,0.2033,71.8,0.8195
Excavator,320 GC,7,7.0,4.08,62.71,82.16,11.91,141,0,9511.61,0.2586,64.0,0.8625
Bulldozer,D8,11,13.34,2.78,56.38,95.54,12.87,98,1,11200.43,0.2886,65.4,0.8664
Wheel Loader,950 GC,4,6.18,3.53,66.78,84.47,12.57,106,4,9984.09,0.326,62.1,0.9051
Wheel Loader,966,11,5.27,2.47,86.67,86.72,12.36,111,0,5104.83,0.2645,67.3,0.869
Articulated Truck,745,9,9.27,1.21,45.15,109.04,14.38,131,1,1980.17,0.4698,46.3,0.9797
Backhoe Loader,420,2,12.3,5.85,28.93,75.69,13.72,176,6,7172.19,0.4507,53.2,0.9839
Bulldozer,D8,5,12.21,1.99,59.97,92.1,12.46,266,2,1146.17,0.4601,49.1,0.9663
Bulldozer,D8,5,12.26,2.34,10.2,91.15,12.12,115,0,3835.84,0.1612,75.5,0.7914
Motor Grader,140,1,4.14,2.63,39.78,101.85,11.59,206,4,1289.23,0.4663,49.7,0.9862
Motor Grader,140,11,8.31,2.59,93.91,86.29,11.92,223,0,936.96,0.4175,52.9,0.9242
Articulated Truck,745,8,2.59,3.1,97.81,84.17,13.95,115,5,10181.82,0.4112,53.5,0.9451
Motor Grader,140,7,8.68,0.92,13.7,95.2,12.68,237,5,1480.14,0.514,44.8,0.9872
Wheel Loader,950 GC,2,9.01,0.77,92.83,76.11,12.14,96,4,4595.82,0.2968,65.5,0.8693
Wheel Loader,966,6,3.82,0.92,88.8,92.16,11.85,188,5,7628.34,0.4564,49.5,0.9722
Excavator,320 GC,8,6.47,4.48,79.7,99.1,12.78,284,5,749.8,0.6671,29.7,0.9035
Bulldozer,D6,6,10.55,4.57,30.74,93.24,11.86,255,1,1135.18,0.4419,49.3,0.9734
Wheel Loader,950 GC,11,3.73,2.93,12.49,97.8,13.12,290,2,8832.37,0.5756,37.5,0.956
Motor Grader,140,5,5.71,4.0,35.81,75.33,14.47,224,5,2667.55,0.5273,43.1,0.9882
Excavator,336,7,7.38,3.75,13.42,86.75,13.61,58,5,1531.39,0.341,59.5,0.8785
Wheel Loader,950 GC,5,9.47,3.62,32.4,101.49,14.04,257,3,11796.83,0.5338,41.0,0.9807
Wheel Loader,966,3,13.42,3.05,20.25,72.74,13.34,103,4,686.48,0.3089,63.2,0.8969
Excavator,320 GC,10,13.85,0.69,44.35,101.05,12.61,163,4,10491.55,0.5661,39.7,0.9639
Backhoe Loader,420,8,11.78,2.02,16.57,96.37,12.85,87,0,573.03,0.2462,66.8,0.8612
Wheel Loader,950 GC,3,13.49,4.24,17.64,92.3,13.16,159,3,3456.84,0.3613,58.6,0.9095
Backhoe Loader,420,9,9.01,1.53,46.89,92.29,12.39,275,0,3431.11,0.4298,50.3,0.9493
Motor Grader,140,4,5.28,2.31,57.3,77.64,13.57,95,4,11380.3,0.3248,61.0,0.897
Backhoe Loader,420,11,4.57,1.98,85.07,91.44,12.03,205,5,2385.72,0.5856,39.1,0.9805
Wheel Loader,966,9,3.85,4.79,52.36,79.68,13.4,193,3,6120.93,0.4587,49.6,0.9681
Wheel Loader,966,5,3.07,2.07,11.37,92.5,13.95,170,7,2161.53,0.5331,42.7,0.98
Articulated Truck,745,2,8.35,1.17,57.74,99.32,14.36,144,6,10769.88,0.4427,49.4,0.9464
Compact Track Loader,259D3,4,11.29,1.36,27.43,74.05,13.36,62,1,10572.12,0.1573,74.4,0.7862
Articulated Truck,745,6,4.82,4.75,73.51,104.42,13.57,206,6,6788.19,0.6249,34.2,0.9451
Compact Track Loader,259D3,11,4.61,2.73,11.25,98.68,12.3,6,7,9879.38,0.414,51.8,0.971
Wheel Loader,950 GC,4,10.47,0.52,10.19,101.32,12.29,20,1,4067.87,0.2014,73.3,0.8124
Excavator,336,2,4.95,4.97,33.9,83.93,13.14,78,4,556.16,0.2855,64.3,0.8576
Excavator,320 GC,11,7.48,1.45,51.07,99.94,12.73,20,7,5967.56,0.4596,49.8,0.9826
Compact Track Loader,259D3,4,12.06,2.4,65.97,77.77,12.29,239,1,3548.28,0.3444,57.2,0.9109
Motor Grader,140,2,6.3,1.31,92.72,77.98,11.7,185,5,1210.35,0.4401,50.9,0.9799
Backhoe Loader,420,10,7.62,0.71,41.89,82.9,13.97,191,1,3552.36,0.3571,58.3,0.9216
Wheel Loader,950 GC,10,5.9,2.08,78.94,75.8,13.17,117,7,11262.91,0.5575,39.3,0.9645
Backhoe Loader,420,8,9.74,3.24,90.51,81.02,13.86,13,4,11093.4,0.293,64.8,0.8761
Articulated Truck,745,1,8.07,1.1,57.34,91.6,12.31,193,2,9595.64,0.3075,61.8,0.8552
Excavator,320 GC,7,3.5,5.06,85.32,88.23,12.06,173,7,1718.3,0.5365,43.3,0.9815
Motor Grader,140,1,5.48,3.98,75.41,90.44,14.4,13,4,6147.11,0.1748,73.5,0.8142
Excavator,320 GC,11,11.42,5.64,46.11,79.78,13.02,165,2,1079.1,0.3884,55.0,0.9276
Bulldozer,D8,3,4.7,0.6,30.41,83.57,13.52,89,1,8105.14,0.2036,71.9,0.8148
Motor Grader,140,2,2.91,4.13,82.36,96.96,11.62,155,5,7610.71,0.4026,53.6,0.9465
Bulldozer,D6,2,6.45,2.16,31.44,86.52,14.02,62,0,6036.76,0.0927,80.9,0.7453
Backhoe Loader,420,10,2.12,5.82,80.55,101.93,13.79,269,2,8542.86,0.5478,39.6,0.9582
Excavator,336,11,10.74,3.75,41.17,103.17,12.22,123,2,4489.21,0.4398,49.2,0.9724
Excavator,320 GC,1,5.55,1.01,50.61,85.05,12.58,155,5,8107.0,0.3894,56.1,0.9406
Bulldozer,D6,5,6.09,5.81,67.49,89.61,14.04,159,1,1606.9,0.3063,63.5,0.8778
Articulated Truck,745,7,3.41,0.88,65.97,110.16,12.02,129,3,5826.57,0.4821,44.9,0.99
Bulldozer,D8,1,4.43,5.32,80.29,86.22,12.6,275,3,8447.01,0.4812,45.7,0.99
Compact Track Loader,259D3,6,10.08,4.94,47.19,75.71,12.6,222,3,9136.6,0.4455,49.6,0.9865
Excavator,320 GC,9,10.89,1.72,67.03,82.38,13.93,233,6,11844.46,0.5692,36.5,0.9567
Backhoe Loader,420,7,7.62,2.41,29.24,80.04,14.44,33,2,11744.77,0.1782,72.9,0.8035
Bulldozer,D6,4,2.74,3.58,56.26,79.22,12.13,217,4,1991.92,0.4282,53.0,0.9578
Compact Track Loader,259D3,5,5.52,2.34,24.47,83.97,11.76,48,3,4795.01,0.2222,69.6,0.8445
Bulldozer,D8,10,12.83,5.84,34.03,96.95,13.88,214,3,6162.34,0.508,44.0,0.99
Bulldozer,D8,4,7.81,4.48,56.04,94.57,13.08,213,7,8328.04,0.5593,40.4,0.9588
Wheel Loader,966,4,11.76,1.08,91.02,72.72,12.83,126,6,2190.29,0.4201,51.3,0.971
Bulldozer,D8,11,2.82,2.95,12.71,109.46,14.38,94,1,4239.11,0.4167,49.5,0.9484
Backhoe Loader,420,8,2.23,3.8,38.7,96.97,13.3,288,1,1815.89,0.4894,43.0,0.9845
Wheel Loader,950 GC,8,12.27,3.8,57.7,78.77,13.58,65,5,4015.45,0.3445,58.8,0.8977
Compact Track Loader,259D3,4,9.71,4.3,67.22,83.9,13.36,119,6,3650.28,0.4256,51.9,0.949
Bulldozer,D8,4,12.27,3.66,44.2,82.3,12.43,100,1,8854.65,0.2233,71.1,0.8468
Wheel Loader,950 GC,9,7.33,5.29,45.41,97.21,14.01,179,6,2201.68,0.6044,36.9,0.9328
Bulldozer,D6,10,2.5,2.29,86.53,79.49,14.43,246,7,11279.1,0.638,31.5,0.9257
Excavator,320 GC,9,7.64,5.68,24.34,84.86,11.87,145,5,5133.34,0.4631,48.1,0.9543
Wheel Loader,966,9,2.2,4.99,39.91,93.73,11.69,68,3,8733.7,0.2794,64.9,0.8724
Compact Track Loader,259D3,4,4.97,3.15,51.22,73.86,13.1,263,4,9034.56,0.5322,44.1,0.9817
Bulldozer,D8,10,7.5,2.18,21.09,102.12,13.25,40,7,11263.61,0.493,45.3,0.99
Excavator,336,10,5.28,0.76,60.55,100.86,13.87,239,1,2125.3,0.4896,47.1,0.99
Excavator,320 GC,11,4.19,2.31,68.53,87.71,13.64,159,1,9820.26,0.3948,54.4,0.9618
Motor Grader,140,9,12.37,2.54,38.86,95.45,11.57,110,5,11228.43,0.4202,53.0,0.9529
Wheel Loader,950 GC,11,2.36,1.86,38.38,86.69,13.65,219,6,11853.63,0.6201,34.4,0.9095
Excavator,336,3,13.49,3.48,29.99,88.29,13.95,237,7,8307.58,0.5935,38.0,0.9626
Bulldozer,D8,2,8.39,0.56,51.92,85.06,11.83,6,4,7920.19,0.1507,73.9,0.7845
Bulldozer,D6,5,4.24,1.94,54.53,83.54,13.96,181,3,4363.91,0.3506,59.1,0.9099
Bulldozer,D8,6,4.59,2.04,17.51,102.33,12.45,234,4,10114.4,0.5487,39.5,0.9672
Compact Track Loader,259D3,11,3.8,5.52,53.48,77.1,13.11,27,5,4977.24,0.3774,56.5,0.914
Wheel Loader,966,3,3.24,5.85,82.88,80.63,11.56,76,3,534.33,0.2428,70.2,0.8396
Compact Track Loader,259D3,1,10.19,4.78,37.6,83.0,11.65,39,5,3137.59,0.2295,70.8,0.8432
Bulldozer,D6,3,4.4,5.36,10.47,79.67,12.72,144,2,11966.23,0.2905,63.6,0.8886
Wheel Loader,966,5,5.84,1.08,57.04,85.19,12.19,72,7,7419.4,0.3895,53.8,0.926
Motor Grader,140,10,5.08,1.69,13.93,94.11,11.77,66,3,3557.64,0.3586,57.9,0.9165
Bulldozer,D8,8,6.04,3.93,67.26,111.14,12.78,214,4,6806.17,0.6391,33.1,0.9057
Bulldozer,D8,8,11.58,3.05,52.74,86.85,13.73,88,5,7878.85,0.382,57.0,0.8998
Motor Grader,140,1,2.26,3.35,74.87,83.03,13.74,131,3,1400.78,0.2595,65.9,0.8555
Compact Track Loader,259D3,2,2.32,0.84,67.64,99.51,14.18,237,2,6491.92,0.4221,51.3,0.9749
Wheel Loader,950 GC,1,5.3,4.02,48.68,85.05,13.44,61,6,10424.86,0.2831,63.6,0.8913
Excavator,336,1,11.45,1.7,62.89,97.15,13.45,268,3,8501.21,0.4364,51.4,0.981
Wheel Loader,966,10,2.1,1.41,99.03,95.05,13.34,229,4,5284.53,0.5319,43.0,0.984
Bulldozer,D6,9,11.38,1.6,12.34,86.76,14.33,105,7,11793.66,0.5138,42.2,0.99
Bulldozer,D6,4,10.92,3.73,52.45,101.18,13.44,142,4,6312.2,0.4276,54.5,0.9632
Motor Grader,140,2,7.38,2.46,31.55,84.71,12.13,42,3,10558.58,0.1877,73.7,0.8103
Motor Grader,140,1,6.45,1.63,30.41,86.22,12.15,11,7,10540.47,0.2655,66.6,0.8395
Excavator,336,8,10.2,2.61,45.75,89.96,12.5,117,0,11261.38,0.2499,70.1,0.8583
Excavator,336,7,2.83,2.94,23.44,106.32,13.34,135,2,1225.65,0.4091,52.0,0.9406
Backhoe Loader,420,7,10.33,1.58,97.38,75.17,13.32,246,2,5571.93,0.4474,48.5,0.9683
Articulated Truck,745,4,13.4,3.3,73.33,91.25,13.26,105,4,3915.03,0.3209,59.5,0.8692
Compact Track Loader,259D3,6,9.49,2.59,28.16,94.75,13.67,173,1,6882.72,0.3281,59.8,0.9059
Excavator,336,1,11.61,3.4,45.46,109.36,13.75,105,4,11063.88,0.4029,54.7,0.9628
Excavator,320 GC,1,10.86,4.78,37.04,101.29,13.05,232,3,9414.76,0.4488,51.8,0.9759
Compact Track Loader,259D3,11,8.96,5.47,21.78,85.92,12.39,277,5,7267.32,0.641,31.5,0.9216
Backhoe Loader,420,7,10.63,2.79,17.08,84.09,11.87,178,2,3989.51,0.3843,56.5,0.9422
Bulldozer,D8,8,4.92,3.63,93.09,83.08,14.39,202,7,868.06,0.6059,35.0,0.9509
Excavator,320 GC,5,11.07,1.05,65.19,82.8,13.14,259,1,11505.14,0.4244,50.5,0.9787
Wheel Loader,966,11,6.91,5.53,27.49,86.33,13.22,150,7,4296.21,0.5766,37.7,0.9593
Bulldozer,D6,9,6.5,1.52,54.02,76.05,13.26,97,1,6144.33,0.2696,65.8,0.8493
Motor Grader,140,8,5.47,1.67,48.92,79.0,13.05,285,5,5383.8,0.5824,39.3,0.9706
Excavator,320 GC,9,4.66,4.89,42.83,84.18,13.49,258,4,4844.77,0.5753,39.1,0.9665
Wheel Loader,966,10,10.76,3.95,43.99,88.05,12.76,109,0,9478.86,0.2938,64.4,0.8814
Motor Grader,140,8,11.38,2.17,22.4,87.66,13.21,264,4,8007.02,0.5438,41.7,0.9682
Compact Track Loader,259D3,3,9.75,5.56,24.94,77.68,13.3,60,6,8758.2,0.3354,60.4,0.8834
Bulldozer,D8,2,5.38,4.51,81.63,91.87,13.37,85,6,9596.13,0.333,59.2,0.8986
Compact Track Loader,259D3,8,11.71,4.27,60.82,83.15,14.26,284,0,10665.08,0.4446,50.9,0.9838
Excavator,320 GC,11,7.32,4.81,77.08,91.36,14.48,210,7,5490.45,0.6689,30.8,0.8904
Excavator,336,8,6.66,4.34,92.68,94.18,13.18,251,4,3468.94,0.5111,43.7,0.988
Wheel Loader,950 GC,1,5.29,1.11,46.4,74.8,13.74,282,2,2711.82,0.4032,53.0,0.9361
Backhoe Loader,420,8,8.3,4.5,89.6,85.78,14.23,254,1,5843.25,0.4146,51.4,0.9644
Bulldozer,D6,5,7.61,2.8,86.66,101.38,12.56,62,7,9356.27,0.4317,50.8,0.9533
Backhoe Loader,420,1,13.3,2.87,17.46,76.95,12.47,129,3,8592.73,0.2588,66.9,0.8546
Bulldozer,D8,11,5.88,2.6,58.43,95.55,12.28,78,6,3236.85,0.4631,49.7,0.9772
Compact Track Loader,259D3,6,6.73,2.17,46.91,77.17,13.33,73,4,1794.85,0.2836,63.1,0.8617
Compact Track Loader,259D3,7,3.12,5.73,52.08,75.45,12.51,28,5,4471.84,0.2867,66.2,0.8602
Wheel Loader,950 GC,10,4.38,1.7,65.53,75.1,11.7,275,4,11788.21,0.5724,39.7,0.9488
Bulldozer,D8,1,7.55,2.73,88.51,96.25,12.63,55,0,3672.48,0.0699,83.4,0.7426
Compact Track Loader,259D3,9,4.08,1.09,22.89,81.46,12.85,152,7,9189.69,0.5377,41.2,0.9752
Articulated Truck,745,7,11.79,3.73,21.73,106.37,13.57,253,4,10687.47,0.6215,35.5,0.9185
Backhoe Loader,420,1,13.09,1.69,89.38,90.13,14.07,190,0,8495.72,0.2149,69.3,0.8215
Excavator,336,11,4.36,2.59,66.58,90.55,12.63,138,0,5796.02,0.3203,62.2,0.894
Compact Track Loader,259D3,10,7.61,5.54,42.88,79.81,11.72,44,0,3458.29,0.1943,73.4,0.8098
Bulldozer,D6,2,12.18,3.66,78.27,91.75,11.68,100,1,3791.87,0.195,71.7,0.8093
Excavator,320 GC,8,8.68,1.88,13.59,83.41,12.88,198,4,10946.21,0.4846,41.3,0.99
Bulldozer,D6,4,5.1,2.07,10.23,74.35,12.04,295,2,2945.56,0.475,45.9,0.9799
